Date_reported,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo[1],Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands (Commonwealth of the),Norway,Oman,Other,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Réunion,Saint Barthélemy,Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The United Kingdom,Timor-Leste,Togo,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Republic of Tanzania,United States Virgin Islands,United States of America,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe,"occupied Palestinian territory, including east Jerusalem"
2020-03-11,3.0,4.0,0.0,0.0,,,,5.0,0.0,,30.0,51.0,0.0,,79.0,0.0,,3.0,99.0,,,,0.0,6.0,,2.0,,9.0,,11.0,0.0,6.0,,,0.0,0.0,16.0,,,,4.0,31.0,0.0,,,4.0,1.0,,,0.0,0.0,,5.0,276.0,,,0.0,0.0,8.0,,,,3.0,,,,0.0,,0.0,495.0,0.0,,,,0.0,157.0,,0.0,6.0,,,,,,0.0,,,,,0.0,,3.0,0.0,10.0,8.0,958.0,9.0,14.0,,17.0,2313.0,0.0,54.0,,0.0,,,,3.0,,,2.0,29.0,,,,0.0,2.0,0.0,,,12.0,2.0,,2.0,1.0,,,,0.0,0.0,0.0,,,2.0,,,,0.0,61.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,3.0,7.0,,4.0,2.0,16.0,5.0,0.0,,244.0,242.0,0.0,14.0,0.0,,,0.0,,,0.0,,,6.0,,1.0,0.0,7.0,,,12.0,,3.0,34.0,,0.0,,598.0,1.0,,,135.0,203.0,,,6.0,148.0,,0.0,,0.0,5.0,,,0.0,0.0,,,0.0,,,,4.0,,,,1.0
2020-03-12,0.0,13.0,5.0,0.0,,,,2.0,0.0,,18.0,64.0,2.0,,6.0,0.0,,0.0,174.0,,,,0.0,0.0,,0.0,,18.0,,0.0,3.0,0.0,,,2.0,0.0,0.0,,,,6.0,26.0,6.0,,,0.0,3.0,,,4.0,55.0,5.0,0.0,136.0,,,0.0,2.0,0.0,,,,0.0,,,,0.0,,115.0,12.0,0.0,5.0,,,2.0,271.0,,0.0,9.0,,,,,,0.0,,,,,0.0,6.0,1.0,0.0,14.0,7.0,1075.0,0.0,8.0,,24.0,2651.0,0.0,52.0,6.0,0.0,,,,8.0,,,6.0,5.0,,,,3.0,0.0,12.0,,,0.0,0.0,,3.0,0.0,,,,4.0,0.0,0.0,,,1.0,,,,0.0,121.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,,0.0,6.0,3.0,9.0,0.0,,0.0,224.0,1.0,18.0,27.0,,,0.0,,,0.0,,,8.0,,0.0,6.0,7.0,,,9.0,,11.0,0.0,,10.0,,518.0,1.0,,,159.0,281.0,,,11.0,259.0,,0.0,,1.0,0.0,,,0.0,11.0,,,291.0,,,,4.0,,,,1.0
2020-03-13,0.0,10.0,0.0,0.0,,,5.0,12.0,7.0,,49.0,115.0,0.0,,0.0,0.0,,9.0,250.0,,,,0.0,1.0,,7.0,,46.0,,0.0,16.0,0.0,,,0.0,0.0,59.0,5.0,,,20.0,10.0,7.0,,,10.0,9.0,8.0,5.0,8.0,0.0,0.0,0.0,127.0,,,0.0,6.0,0.0,,,,66.0,,,,0.0,,0.0,1359.0,1.0,0.0,,,0.0,802.0,,0.0,34.0,,,,,,0.0,,,5.0,,0.0,0.0,3.0,56.0,7.0,35.0,1289.0,0.0,27.0,,27.0,2547.0,1.0,55.0,0.0,0.0,,,6.0,20.0,,,3.0,0.0,,,,0.0,3.0,21.0,,,0.0,0.0,,3.0,1.0,,,,1.0,1.0,0.0,,,0.0,,,,0.0,111.0,,0.0,,,0.0,2.0,,473.0,0.0,1.0,0.0,4.0,,0.0,5.0,0.0,18.0,71.0,,0.0,0.0,4.0,15.0,0.0,,7.0,0.0,,,0.0,,5.0,6.0,,0.0,0.0,12.0,,,13.0,,11.0,84.0,,0.0,,825.0,0.0,,,155.0,308.0,,,5.0,406.0,,0.0,5.0,0.0,4.0,,,2.0,0.0,,5.0,277.0,,,,0.0,,,,4.0
2020-03-15,6.0,4.0,12.0,0.0,,,0.0,0.0,18.0,,101.0,151.0,2.0,,3.0,0.0,,0.0,179.0,,,,0.0,0.0,,8.0,,0.0,,15.0,10.0,0.0,,,5.0,0.0,128.0,0.0,0.0,,0.0,27.0,0.0,,5.0,0.0,6.0,0.0,1.0,9.0,103.0,0.0,0.0,37.0,,,0.0,0.0,17.0,,0.0,,92.0,0.0,0.0,,0.0,,57.0,911.0,0.0,2.0,0.0,,3.0,733.0,1.0,0.0,38.0,,,3.0,,5.0,0.0,0.0,,3.0,,0.0,0.0,6.0,0.0,23.0,48.0,1254.0,31.0,38.0,,22.0,3590.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,,,12.0,6.0,,,,0.0,1.0,0.0,,,41.0,4.0,,9.0,5.0,0.0,,0.0,15.0,0.0,0.0,,,10.0,,,0.0,0.0,155.0,,0.0,,,0.0,0.0,,170.0,2.0,15.0,24.0,0.0,,0.0,15.0,76.0,36.0,133.0,0.0,0.0,76.0,11.0,10.0,0.0,9.0,3.0,2.0,,6.0,0.0,,0.0,9.0,,0.0,5.0,0.0,6.0,,14.0,,17.0,78.0,,0.0,,1522.0,5.0,0.0,5.0,68.0,532.0,,,39.0,478.0,,0.0,1.0,2.0,0.0,,,0.0,13.0,,0.0,36.0,8.0,,15.0,5.0,,,,0.0
2020-03-16,5.0,9.0,0.0,0.0,,,0.0,11.0,26.0,,38.0,205.0,0.0,,7.0,5.0,,15.0,214.0,,,,0.0,8.0,,0.0,,79.0,,10.0,10.0,12.0,,,0.0,2.0,0.0,0.0,0.0,,14.0,29.0,10.0,,0.0,12.0,11.0,0.0,0.0,3.0,45.0,0.0,0.0,34.0,,,0.0,14.0,16.0,,0.0,,34.0,0.0,3.0,,6.0,,5.0,1193.0,0.0,0.0,0.0,,0.0,1043.0,0.0,2.0,103.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,8.0,42.0,7.0,55.0,1008.0,0.0,40.0,,50.0,3233.0,2.0,34.0,0.0,0.0,0.0,2.0,0.0,11.0,,,5.0,0.0,,,,3.0,8.0,43.0,,,315.0,0.0,,9.0,1.0,0.0,,0.0,12.0,7.0,3.0,,,1.0,,,0.0,0.0,176.0,,0.0,,,0.0,6.0,,92.0,0.0,0.0,1.0,16.0,,2.0,28.0,2.0,21.0,86.0,0.0,64.0,74.0,6.0,35.0,59.0,0.0,0.0,0.0,,0.0,0.0,,0.0,10.0,,30.0,0.0,16.0,2.0,,17.0,,11.0,34.0,5.0,13.0,,2000.0,8.0,0.0,0.0,67.0,362.0,,,33.0,361.0,,0.0,0.0,2.0,42.0,,,2.0,0.0,,0.0,0.0,0.0,8.0,0.0,4.0,,,,1.0
2020-03-17,1.0,4.0,11.0,12.0,,,0.0,9.0,0.0,6.0,78.0,156.0,0.0,5.0,16.0,0.0,,0.0,387.0,,5.0,,0.0,0.0,,0.0,,34.0,,4.0,11.0,5.0,,,12.0,0.0,120.0,0.0,0.0,,81.0,39.0,11.0,,0.0,6.0,8.0,1.0,1.0,0.0,136.0,3.0,1.0,79.0,,,16.0,21.0,40.0,,0.0,,20.0,0.0,1.0,,2.0,,47.0,1079.0,0.0,0.0,0.0,,1.0,1174.0,4.0,0.0,21.0,,,12.0,7.0,5.0,0.0,0.0,,0.0,,0.0,6.0,11.0,45.0,23.0,0.0,1178.0,30.0,54.0,,54.0,3526.0,2.0,15.0,3.0,29.0,0.0,0.0,8.0,7.0,,,24.0,21.0,,5.0,,0.0,8.0,59.0,,,0.0,0.0,,8.0,0.0,0.0,,0.0,29.0,0.0,0.0,6.0,,9.0,,,0.0,0.0,278.0,,5.0,,,0.0,12.0,,139.0,2.0,0.0,134.0,26.0,,1.0,15.0,45.0,52.0,117.0,0.0,41.0,84.0,1.0,26.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,2.0,,38.0,1.0,15.0,0.0,,23.0,,25.0,22.0,0.0,11.0,,1438.0,10.0,0.0,0.0,108.0,630.0,,,30.0,442.0,,0.0,3.0,4.0,0.0,,,9.0,0.0,5.0,1.0,1822.0,2.0,12.0,16.0,4.0,,,,2.0
2020-03-19,0.0,7.0,10.0,0.0,,,0.0,0.0,34.0,-3.0,195.0,314.0,0.0,0.0,13.0,3.0,0.0,0.0,534.0,,1.0,0.0,-3.0,-1.0,,4.0,,133.0,,13.0,11.0,14.0,,,8.0,5.0,163.0,-2.0,0.0,5.0,100.0,122.0,11.0,,0.0,33.0,12.0,-3.0,0.0,0.0,168.0,0.0,7.0,84.0,0.0,,9.0,40.0,14.0,1.0,1.0,,5.0,0.0,3.0,,25.0,1.0,6.0,1830.0,0.0,4.0,0.0,0.0,0.0,1042.0,2.0,-2.0,31.0,0.0,,8.0,3.0,-1.0,0.0,1.0,,0.0,,0.0,-1.0,23.0,76.0,40.0,78.0,1046.0,13.0,74.0,,98.0,5318.0,-2.0,73.0,0.0,4.0,-2.0,0.0,4.0,6.0,0.0,,11.0,29.0,,0.0,,0.0,6.0,131.0,,,223.0,0.0,,1.0,5.0,0.0,4.0,1.0,21.0,0.0,-3.0,1.0,0.0,12.0,,,1.0,0.0,346.0,2.0,15.0,1.0,5.0,4.0,13.0,,125.0,6.0,0.0,61.0,19.0,,0.0,85.0,26.0,49.0,139.0,-3.0,10.0,235.0,9.0,10.0,48.0,0.0,3.0,0.0,,0.0,0.0,,0.0,13.0,,0.0,2.0,37.0,0.0,,28.0,0.0,12.0,29.0,0.0,34.0,,2534.0,13.0,0.0,0.0,140.0,1198.0,,,106.0,769.0,,8.0,-2.0,6.0,0.0,,,0.0,23.0,3.0,0.0,3351.0,46.0,1.0,0.0,15.0,,0.0,,6.0
2020-03-20,-2.0,0.0,8.0,36.0,,,0.0,27.0,14.0,0.0,164.0,550.0,6.0,-3.0,12.0,0.0,-1.0,7.0,713.0,,0.0,0.0,0.0,1.0,,0.0,,193.0,,5.0,13.0,0.0,,1.0,4.0,3.0,110.0,0.0,0.0,0.0,92.0,116.0,37.0,,0.0,26.0,23.0,5.0,0.0,5.0,210.0,0.0,0.0,123.0,0.0,,38.0,168.0,42.0,0.0,0.0,,16.0,0.0,0.0,,25.0,0.0,81.0,1598.0,0.0,0.0,-4.0,0.0,5.0,5940.0,1.0,0.0,46.0,0.0,,6.0,2.0,3.0,0.0,0.0,,0.0,2.0,0.0,12.0,12.0,79.0,0.0,60.0,1233.0,12.0,191.0,1.0,183.0,5986.0,1.0,46.0,3.0,9.0,11.0,0.0,3.0,7.0,-1.0,,25.0,10.0,,0.0,,5.0,33.0,139.0,,,130.0,0.0,,11.0,0.0,0.0,1.0,0.0,46.0,-1.0,0.0,1.0,0.0,9.0,,,0.0,0.0,409.0,0.0,14.0,0.0,0.0,0.0,22.0,,190.0,5.0,-4.0,155.0,28.0,1.0,-2.0,0.0,13.0,68.0,235.0,8.0,4.0,147.0,17.0,48.0,54.0,0.0,9.0,0.0,,0.0,0.0,,0.0,25.0,,32.0,0.0,12.0,0.0,,40.0,0.0,14.0,22.0,0.0,51.0,,3431.0,0.0,0.0,-3.0,200.0,1055.0,,,0.0,999.0,1.0,0.0,0.0,15.0,475.0,,,6.0,0.0,0.0,0.0,4777.0,15.0,12.0,0.0,6.0,,0.0,1.0,-3.0
2020-03-22,10.0,0.0,45.0,39.0,0.0,,0.0,0.0,0.0,0.0,17.0,375.0,0.0,0.0,28.0,0.0,0.0,0.0,470.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,36.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3276.0,0.0,0.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,0.0,58.0,64.0,1028.0,19.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,12.0,0.0,,0.0,42.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,23.0,,,0.0,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,151.0,0.0,0.0,0.0,0.0,73.0,111.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,119.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,4946.0,0.0,0.0,0.0,0.0,925.0,,,188.0,1255.0,0.0,0.0,0.0,15.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0
2020-03-23,6.0,13.0,62.0,1.0,0.0,,0.0,67.0,30.0,3.0,611.0,607.0,12.0,0.0,5.0,3.0,0.0,0.0,486.0,,0.0,0.0,0.0,5.0,,33.0,,0.0,,5.0,22.0,0.0,,0.0,33.0,13.0,336.0,0.0,1.0,0.0,198.0,104.0,0.0,,0.0,4.0,29.0,0.0,0.0,11.0,170.0,12.0,7.0,69.0,-2.0,,0.0,26.0,33.0,0.0,0.0,0.0,20.0,-1.0,-2.0,,23.0,1.0,105.0,1525.0,3.0,3.0,0.0,0.0,5.0,3311.0,5.0,5.0,94.0,0.0,1.0,5.0,12.0,6.0,12.0,0.0,,0.0,0.0,0.0,2.0,36.0,95.0,93.0,65.0,1411.0,33.0,121.0,0.0,188.0,5560.0,3.0,43.0,3.0,13.0,5.0,4.0,11.0,1.0,0.0,,-61.0,19.0,,0.0,,35.0,-26.0,-582.0,9.0,,123.0,0.0,,18.0,5.0,0.0,0.0,3.0,87.0,73.0,0.0,7.0,0.0,25.0,1.0,,0.0,0.0,573.0,3.0,36.0,0.0,-3.0,0.0,27.0,,-1801.0,11.0,0.0,138.0,108.0,0.0,4.0,0.0,16.0,98.0,320.0,2.0,13.0,64.0,14.0,66.0,132.0,0.0,17.0,0.0,,0.0,-3.0,,0.0,0.0,,51.0,11.0,46.0,0.0,,23.0,0.0,7.0,31.0,0.0,34.0,,3646.0,22.0,0.0,0.0,160.0,602.0,1.0,,122.0,1198.0,0.0,1.0,41.0,14.0,289.0,,0.0,0.0,45.0,2.0,0.0,16354.0,41.0,13.0,30.0,24.0,,-3.0,0.0,0.0
