Date_reported,Australia,Brazil,Canada,China,Denmark,Finland,France,Germany,Hong Kong,India,Indonesia,Italy,Japan,Malaysia,Mexico,Netherlands,Norway,Philippines,Saudi Arabia,Singapore,South Korea,Spain,Sweden,Taiwan,Thailand,UAE,UK,USA,Vietnam
2020-03-11,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,
2020-03-13,,,,,,,38.0,,,,,,,,,,,,,58.0,,,,,,,38.0,,
2020-03-15,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,66.0,40.0,27.0,,37.0,,53.0,73.0,,,83.0,,,41.0,75.0,,,,,30.0,,77.0,,,,
2020-03-17,,,45.0,,,,,,65.0,,,,66.0,,29.0,,,,,,,,,63.0,,,,41.0,
2020-03-19,,,,,,,,,,,,74.0,,,,,,,,,,44.0,,,,,,,
2020-03-20,,,,,,,61.0,,,54.0,,,,,,,,,,61.0,,,,,,,48.0,,
2020-03-22,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,,55.0,69.0,40.0,27.0,,49.0,,,78.0,,,90.0,39.0,,42.0,81.0,,,,,30.0,,80.0,,,52.0,78.0
2020-03-24,,,,,,,,,68.0,,,,63.0,,,,,,,,,,,63.0,,,,,
2020-03-25,,,,,,,,,,,,72.0,,,,,,,71.0,,,50.0,,,,66.0,,,
2020-03-27,,,,,,,68.0,,,64.0,,,,,,,,,,67.0,,,,,,,61.0,,
2020-03-29,60.0,,,,42.0,39.0,,,,,,,,,,,48.0,,,,,,31.0,,,,,,
2020-03-30,,,66.0,67.0,,,,48.0,,,85.0,,70.0,90.0,35.0,,,80.0,,,,,,,82.0,,,60.0,89.0
2020-04-02,,,,,,,,,,,,75.0,,,,,,,,,,48.0,,,,,,,
2020-04-03,,,,,,,67.0,,,65.0,,,,,,,,,,73.0,,,,,,,56.0,,
2020-04-05,53.0,,,,53.0,42.0,,,,,,,,,,,38.0,,,,,,47.0,,,,,,
2020-04-06,,,69.0,68.0,,,,47.0,,,75.0,,85.0,89.0,45.0,,,82.0,,,,,,,81.0,,,60.0,88.0
2020-04-08,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,
2020-04-09,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,
2020-04-10,,,,,,,67.0,,,64.0,,,,,,,,,,71.0,,,,,,,,,
2020-04-12,55.0,,,,44.0,38.0,,,,,,,,,,,47.0,,,,,,53.0,,,,,,
