Date_reported,Australia,Canada,Denmark,Finland,France,Germany,India,Indonesia,Italy,Japan,Malaysia,Mexico,Norway,Philippines,Poland,Singapore,Spain,Sweden,Taiwan,UK,USA,Vietnam
2020-03-11,,,,,,,,,69.0,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,35.0,,,,,
2020-03-13,,,,,48.0,,,,,,,,,,,,,,,55.0,,
2020-03-15,63.0,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,86.0,57.0,,51.0,80.0,,,,,,42.0,,,,,41.0,,,,
2020-03-17,,63.0,,,,,,,,43.0,,33.0,,,,,,,,,46.0,
2020-03-19,,,,,,,,,78.0,,,,,,,,42.0,,,,,
2020-03-20,,,,,54.0,,87.0,,,,,,,,,,,,,59.0,,
2020-03-22,66.0,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,78.0,84.0,79.0,,62.0,,,,,,35.0,70.0,,,,,56.0,,,53.0,81.0
2020-03-24,,,,,,,,,,46.0,,,,,,,,,,,,
2020-03-25,,,,,,,,,71.0,,,,,,,,38.0,,,,,
2020-03-27,,,,,36.0,,91.0,,,,,,,,,,,,,72.0,,
2020-03-29,64.0,,84.0,71.0,,,,,,,,,74.0,,,,,59.0,,,,
2020-03-30,,80.0,,,,70.0,,,,39.0,,43.0,,,,,,,,,51.0,93.0
2020-04-02,,,,,,,,,71.0,,,,,,,,36.0,,,,,
2020-04-03,,,,,40.0,,90.0,,,,,,,,,,,,,64.0,,
2020-04-05,76.0,,86.0,81.0,,,,,,,,,85.0,,,,,51.0,,,,
2020-04-06,,79.0,,,,71.0,,,,31.0,,46.0,,,,,,,,,50.0,94.0
2020-04-08,,,,,,,,,,,,,,,,,42.0,,,,,
2020-04-09,,,,,,,,,72.0,,,,,,,,,,,,,
2020-04-10,,,,,37.0,,92.0,,,,,,,,,,,,,,,
2020-04-12,82.0,,81.0,74.0,,,,,,,,,81.0,,,,,57.0,,,,
2020-04-13,,76.0,,,,72.0,,,,39.0,,48.0,,,,,,,,,49.0,95.0
2020-04-14,,,,,,,,,,,,,,,,,,,,68.0,,
2020-04-16,,,,,,,,,68.0,,,,,,,,38.0,,,,,
2020-04-17,,,,,38.0,,92.0,,,,,,,,,,,,,66.0,,
2020-04-19,86.0,,88.0,73.0,,,,,,,,,79.0,,,,,57.0,,,,
2020-04-20,,80.0,,,,72.0,,,,37.0,,50.0,,,,,,,,,48.0,93.0
2020-04-23,,,,,,,,,63.0,,,,,,,,38.0,,,,,
2020-04-24,,,,,38.0,,89.0,,,,,,,,,,,,,60.0,,
2020-04-26,87.0,,82.0,73.0,,,,,,,,,79.0,,,,,64.0,,,,
2020-04-27,,80.0,,,,70.0,,,,39.0,,54.0,,,,,,,,,47.0,98.0
2020-04-30,,,,,,,,,67.0,,,,,,,,42.0,,,,,
2020-05-01,,,,,34.0,,90.0,,,,,,,,,,,,,58.0,,
2020-05-03,89.0,,80.0,83.0,,,,,,,,,83.0,,,,,,,,,
2020-05-04,,,,,,70.0,,,,42.0,,,,,,,,,,,,97.0
2020-05-15,,,84.0,73.0,34.0,,,,69.0,,,,82.0,,,77.0,,64.0,,46.0,,
2020-05-21,,,,,,,,,,,,,,,,,44.0,,,,,
2020-05-22,,,84.0,74.0,37.0,,,,68.0,,,,81.0,,,80.0,,55.0,,45.0,,
2020-05-25,87.0,,,,,,78.0,50.0,,,92.0,,,64.0,,,,,,,,
2020-05-26,,76.0,,,,68.0,,,,,,41.0,,,42.0,,,,92.0,,44.0,97.0
2020-05-28,,,85.0,79.0,,,,,,,,,,,,,46.0,,,,,
2020-06-01,88.0,,,,,,77.0,57.0,,,93.0,,,64.0,,,,,,,,
2020-06-02,,77.0,,,,70.0,,,,,,40.0,,,44.0,,,,92.0,,41.0,97.0
2020-06-03,,,,,,,,,69.0,,,,,,,,,,,,,
2020-06-04,,,82.0,77.0,,,,,,,,,,,,,47.0,51.0,,,,
2020-06-05,,,,,43.0,,,,,,,,84.0,,,81.0,,,,39.0,,
2020-06-08,86.0,,,,,,73.0,60.0,,,94.0,,,62.0,,,,,,,,
2020-06-09,,79.0,,,,70.0,,,,,,36.0,,,44.0,,,,89.0,,43.0,97.0
2020-06-10,,,,,,,,,65.0,,,,,,,,,,,,,
2020-06-11,,,86.0,81.0,,,,,,,,,,,,,48.0,,,,,
2020-06-12,,,,,48.0,,,,,,,,81.0,,,81.0,,51.0,,40.0,,
2020-06-15,88.0,,,,,,68.0,57.0,,,95.0,,,58.0,,,,,,,,
2020-06-16,,78.0,,,,70.0,,,,,,37.0,,,38.0,,,,91.0,,42.0,97.0
2020-06-17,,,,,,,,,65.0,,,,,,,,,,,,,
2020-06-18,,,83.0,84.0,,,,,,,,,,,,,50.0,,,,,
2020-06-19,,,,,41.0,,,,,,,,82.0,,,81.0,,46.0,,43.0,,
2020-06-22,87.0,,,,,,66.0,61.0,,,96.0,,,59.0,,,,,,,,
2020-06-23,,79.0,,,,71.0,,,,,,31.0,,,36.0,,,,88.0,,41.0,97.0
2020-06-24,,,,,,,,,67.0,,,,,,,,,,,,,
2020-06-25,,,82.0,83.0,,,,,,,,,,,,,45.0,,,,,
2020-06-26,,,,,38.0,,,,,,,,79.0,,,82.0,,48.0,,44.0,,
2020-07-02,,,,,,,,,,,,,,,,,,,,42.0,,
2020-07-06,,,,,,72.0,,,,,,,,,,,,,,,,
2020-07-09,,,,,,,,,,,,,,,,,,,,43.0,,
2020-07-13,,,,,,74.0,,,,,,,,,,,,,,,38.0,
2020-07-20,,,,,,,,58.0,,,93.0,,,52.0,,70.0,,,86.0,,,92.0
2020-07-21,,77.0,,,,,,,,,,,,,,,,,,,,
2020-07-22,,,,,42.0,,,,,,,,,,,,,,,45.0,36.0,
2020-07-23,,,,,,,69.0,,,,,,,,,,,,,,,
2020-07-28,,,,,,,,,,,,,,,,,,,,,37.0,
2020-07-29,,,,,36.0,,,,,,,,,,,,,,,,,
2020-08-02,,,,,,,71.0,,,,,,,,,,,,,,,
