"Date_reported","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 0",,,,,,,,,,,,,,,,,,24
"2020-02-24 0",,,85,,,,,,,54,,,55,,,62,,,,,,73
"2020-02-25 0",,,,,,,,90,,,,,,,,,,,,,84
"2020-02-28 0",,,,,,,,,,,,,,,,,,22
"2020-03-01 0",,,,,,,,,,,,,,,,,,,,,,,,1
"2020-03-02 0",,,87,,,,,,,61,,,55,,,61,,,,,,74,,,7
"2020-03-03 0",,,,,,,,85,,,,,,,,,,,,,85
"2020-03-04 0",,,,,,,2
"2020-03-06 0",,,,,,,,,,,,,,,,,,23
"2020-03-09 0",,,86,,,,,,,47,,,53,,,59,,,,,,73
"2020-03-10 0",,,,,,5,,85,,,,,,,,,,,,,84
"2020-03-11 0",,,,,,,,,,,26
"2020-03-12 0",,,,,,,,,,,,,,,,,,,5
"2020-03-13 0",,,,,,6,,,,,,,,,,,,21,,,,,,1
"2020-03-15 0",10
"2020-03-16 0",,,83,1,1,,1,,43,48,,,55,,3,59,,,,1,,71
"2020-03-17 0",,6,,,,,,86,,,,62,,17,,,,,,,80,,,,5
"2020-03-18 0",,,,,,,,,,,,,,,,,35,,,,,,39
"2020-03-19 0",,,,,,,,,,,59,,,,,,,,25
"2020-03-20 0",,,,,,12,,,46,,,,,,,,,24,,,,,,2
"2020-03-22 0",13
"2020-03-23 0",,9,86,1,1,,3,,,59,,,69,21,3,76,,,,1,,80,,,11,59
"2020-03-24 0",,,,,,,,88,,,,62,,,,,,,,,87
"2020-03-25 0",,,,,,,,,,,70,,,,,,47,,42,,,,44
"2020-03-27 0",,,,,,22,,,65,,,,,,,,,27,,,,,,6
"2020-03-29 0",20,,,2,2,,,,,,,,,,4,,,,,1
"2020-03-30 0",,16,83,,,,7,,,71,,67,77,28,,82,,,,,,89,,,17,85
"2020-03-31 0",,,,,,,,89,,,,,,,,,,,,,87
"2020-04-01 0",,,,,,,,,,,,,,,,,54,,,,,,63
"2020-04-02 0",,,,,,,,,,,,,,,,,,,45
"2020-04-03 0",,,,,,25,,,71,,75,,,,,,,37,,,,,,7
"2020-04-05 0",23,,,3,5,,,,,,,,,,1,,,,,1
"2020-04-06 0",,18,85,,,,14,,,70,,73,82,37,,84,,,,,,86,,,29,85
"2020-04-07 0",,,,,,,,88,,,,,,,,,48,,,,89,,54
"2020-04-08 0",,,,,,,,,,,,,,,,,,,56
"2020-04-09 0",,,,,,,,,,,82
"2020-04-10 0",,,,,,38,,,79,,,,,,,,,73
"2020-04-12 0",26,,,2,4,,,,,,,,,,9,,,,,10
"2020-04-13 0",,16,89,,,,17,,,79,,76,80,46,,83,,,,,,90,,,49,84
"2020-04-14 0",,,,,,,,90,,,,,,,,,59,,,,89,,79,10
"2020-04-16 0",,,,,,,,,,,85,,,,,,,,65
"2020-04-17 0",,,,,,43,,,84,,,,,,,,,85,,,,,,11
"2020-04-19 0",27,,,3,3,,,,,,,,,,6,,,,,6
"2020-04-20 0",,31,82,,,,24,,,81,,81,83,60,,81,,,,,,90,,,58,82
"2020-04-21 0",,,,,,,,88,,,,,,,,,,,,,88
"2020-04-22 0",,,,,,,,,,,,,,,,,60,,,,,,80
"2020-04-23 0",,,,,,,,,,,89,,,,,,,,66
"2020-04-24 0",,,,,,47,,,81,,,,,,,,,90,,,,,,13
"2020-04-26 0",24,,,3,3,,,,,,,,,,5,,,,,4
"2020-04-27 0",,41,90,,,,38,,,79,,84,86,67,,83,,,,,,88,,,63,87
"2020-04-28 0",,,,,,,,88,,,,,,,,,,,,,88
"2020-04-29 0",,,,,,,,,,,,,,,,,56,,,,,,78
"2020-04-30 0",,,,,,,,,,,87,,,,,,,,72
"2020-05-01 0",,,,,,56,,,82,,,,,,,,,90,,,,,,13
"2020-05-03 0",25,,,5,7,,,,,,,,,,7,,,,,2
"2020-05-04 0",,,88,,,,62,,,84,,86,85,,,84,63,,,,,87,80,,,86
"2020-05-05 0",,,,,,,,90,,,,,,,,,,,,,87
"2020-05-15 0",,,,,,,,,,,,,,,,,,,,,,,,18
"2020-05-20 0",,,,,,76,,,,,,,,,,,,,84
"2020-05-21 0",,,,,,,,,,,,,,,,,,,,,,,,20
"2020-05-22 0",18,,,,,,,,,82,,,,,,,,92
"2020-05-25 0",,,,3,,,64,87,,,,,85,,5,82,,,,4,86,86,,,,79
"2020-05-26 0",,49,83,,,,,,,,85,,,,,,,,,,,,,,68
"2020-05-27 0",,,,,,79
"2020-05-28 0",,,,,,,,,,,,,,,,,,,86
"2020-05-30 0",,,,,,,,,,,,,,,,,,,,,,,,21
"2020-06-01 0",,,,,,,,,,,,,,,,,,,,,,,,,69
"2020-06-02 0",,,,,,,,,,,86
"2020-06-03 0",,,,,,,,,,,,,,,,,72,,,,,,81
"2020-06-04 0",,,,,,77
"2020-06-05 0",17,,,,,,,,,,,,,,,,,89,,,,,,21
"2020-06-08 0",,,83,,,,,90,,84,,,88,,,84,,,86,,81,84,,,66,80
"2020-06-09 0",,,,,,,,,,,,,,,,,,,,5
"2020-06-10 0",,,,,,,,,,,85,,,,,,73,,,,,,79
"2020-06-11 0",,58
"2020-06-12 0",,,,,,75,,,,,,,,,,,,,87
"2020-06-15 0",,,,,,,,,,,,,,,,,,,,,,,,,69
"2020-06-16 0",,,,,,,,,,,,,,,,,,,,6,,,,27
"2020-06-17 0",,,,,,78,,,,,84,,,,,,71,,,,,,80
"2020-06-18 0",,,,4,,,64
"2020-06-19 0",21,,,,,,,,,,,,,,,,,92
"2020-06-20 0",,,,,7
"2020-06-21 0",,,,,,,,,,,,,,,,,,,80
"2020-06-22 0",,,82,,,,,86,,85,,,89,,,82,,,,,85,84,,,71,78
"2020-06-23 0",,,,,,,,,,,81
