Date_reported,Australia,Canada,China,Denmark,Finland,France,Germany,Hong Kong,India,Indonesia,Italy,Japan,Malaysia,Mexico,Norway,Philippines,Saudi Arabia,Singapore,Spain,Sweden,Taiwan,Thailand,UAE,UK,USA,Vietnam
2020-03-11,,,,,,,,,,,26.0,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
2020-03-13,,,,,,6.0,,,,,,,,,,,,21.0,,,,,,1.0,,
2020-03-15,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,83.0,1.0,1.0,,1.0,,43.0,48.0,,,55.0,,3.0,59.0,,,,1.0,,71.0,,,,
2020-03-17,,6.0,,,,,,86.0,,,,62.0,,17.0,,,,,,,80.0,,,,5.0,
2020-03-19,,,,,,,,,,,59.0,,,,,,,,25.0,,,,,,,
2020-03-20,,,,,,12.0,,,46.0,,,,,,,,,24.0,,,,,,2.0,,
2020-03-22,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,9.0,86.0,1.0,1.0,,3.0,,,59.0,,,69.0,21.0,3.0,76.0,,,,1.0,,80.0,,,11.0,59.0
2020-03-24,,,,,,,,88.0,,,,62.0,,,,,,,,,87.0,,,,,
2020-03-25,,,,,,,,,,,70.0,,,,,,47.0,,42.0,,,,44.0,,,
2020-03-27,,,,,,22.0,,,65.0,,,,,,,,,27.0,,,,,,6.0,,
2020-03-29,20.0,,,2.0,2.0,,,,,,,,,,4.0,,,,,1.0,,,,,,
2020-03-30,,16.0,83.0,,,,7.0,,,71.0,,67.0,77.0,28.0,,82.0,,,,,,89.0,,,17.0,85.0
2020-04-02,,,,,,,,,,,,,,,,,,,45.0,,,,,,,
2020-04-03,,,,,,25.0,,,71.0,,75.0,,,,,,,37.0,,,,,,7.0,,
2020-04-05,23.0,,,3.0,5.0,,,,,,,,,,1.0,,,,,1.0,,,,,,
2020-04-06,,18.0,85.0,,,,14.0,,,70.0,,73.0,82.0,37.0,,84.0,,,,,,86.0,,,29.0,85.0
2020-04-08,,,,,,,,,,,,,,,,,,,56.0,,,,,,,
2020-04-09,,,,,,,,,,,82.0,,,,,,,,,,,,,,,
2020-04-10,,,,,,38.0,,,79.0,,,,,,,,,73.0,,,,,,,,
2020-04-12,26.0,,,2.0,4.0,,,,,,,,,,9.0,,,,,10.0,,,,,,
2020-04-13,,16.0,89.0,,,,17.0,,,79.0,,76.0,80.0,46.0,,83.0,,,,,,90.0,,,49.0,84.0
2020-04-14,,,,,,,,90.0,,,,,,,,,59.0,,,,89.0,,79.0,10.0,,
2020-04-16,,,,,,,,,,,85.0,,,,,,,,65.0,,,,,,,
2020-04-17,,,,,,43.0,,,84.0,,,,,,,,,85.0,,,,,,11.0,,
2020-04-19,27.0,,,3.0,3.0,,,,,,,,,,6.0,,,,,6.0,,,,,,
2020-04-20,,31.0,82.0,,,,24.0,,,81.0,,81.0,83.0,60.0,,81.0,,,,,,90.0,,,58.0,82.0
2020-04-23,,,,,,,,,,,89.0,,,,,,,,66.0,,,,,,,
2020-04-24,,,,,,47.0,,,81.0,,,,,,,,,90.0,,,,,,13.0,,
2020-04-26,24.0,,,3.0,3.0,,,,,,,,,,5.0,,,,,4.0,,,,,,
2020-04-27,,41.0,90.0,,,,38.0,,,79.0,,84.0,86.0,67.0,,83.0,,,,,,88.0,,,63.0,87.0
2020-04-30,,,,,,,,,,,87.0,,,,,,,,72.0,,,,,,,
2020-05-01,,,,,,56.0,,,82.0,,,,,,,,,90.0,,,,,,13.0,,
2020-05-03,25.0,,,5.0,7.0,,,,,,,,,,7.0,,,,,2.0,,,,,,
2020-05-04,,,88.0,,,,62.0,,,84.0,,86.0,85.0,,,84.0,63.0,,,,,87.0,80.0,,,86.0
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
2020-05-22,18.0,,,,,,,,,82.0,,,,,,,,92.0,,,,,,,,
2020-05-25,,,,3.0,,,64.0,87.0,,,,,85.0,,5.0,82.0,,,,4.0,86.0,86.0,,,,79.0
2020-05-26,,49.0,83.0,,,,,,,,85.0,,,,,,,,,,,,,,68.0,
2020-05-28,,,,,,,,,,,,,,,,,,,86.0,,,,,,,
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,69.0,
2020-06-02,,,,,,,,,,,86.0,,,,,,,,,,,,,,,
2020-06-03,,,,,,,,,,,,,,,,,72.0,,,,,,81.0,,,
2020-06-04,,,,,,77.0,,,,,,,,,,,,,,,,,,,,
2020-06-05,17.0,,,,,,,,,,,,,,,,,89.0,,,,,,21.0,,
2020-06-08,,,83.0,,,,,90.0,,84.0,,,88.0,,,84.0,,,86.0,,81.0,84.0,,,66.0,80.0
2020-06-09,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
2020-06-10,,,,,,,,,,,85.0,,,,,,73.0,,,,,,79.0,,,
2020-06-11,,58.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,,,,,,75.0,,,,,,,,,,,,,87.0,,,,,,,
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,69.0,
2020-06-16,,,,,,,,,,,,,,,,,,,,6.0,,,,27.0,,
2020-06-17,,,,,,78.0,,,,,84.0,,,,,,71.0,,,,,,80.0,,,
2020-06-18,,,,4.0,,,64.0,,,,,,,,,,,,,,,,,,,
2020-06-19,21.0,,,,,,,,,,,,,,,,,92.0,,,,,,,,
2020-06-22,,,82.0,,,,,86.0,,85.0,,,89.0,,,82.0,,,,,85.0,84.0,,,71.0,78.0
2020-06-23,,,,,,,,,,,81.0,,,,,,,,,,,,,,,
2020-06-24,,,,,,78.0,,,,,,,,,,,,,,,,,,,,
2020-06-25,,,,,,,,,,,,,,,,,,,86.0,,,,,31.0,,
2020-06-26,,60.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,,,,,,,65.0,,,,,,,,,,,,,,,,,,,
2020-07-06,,,82.0,,,,,86.0,,85.0,,,86.0,,,84.0,,,,,81.0,83.0,,,73.0,74.0
2020-07-09,,,,,,,,,,,,,,,,,,,88.0,,,,,,,
2020-07-13,,,,,,,,,,,,,,,,,75.0,,,,,,81.0,,,
2020-07-20,,,80.0,,,,,,,85.0,,,85.0,,,84.0,,92.0,,,80.0,88.0,,,74.0,79.0
2020-07-21,,74.0,,,,,,86.0,,,84.0,,,,,,,,,,,,80.0,,,
